hicl,ingredient,support,total
6319,flumazenil,1294,1295
6322,macrobid,524,526
6323,metoprolol succinate,12972,18430
6324,sertraline hcl,4017,6050
6328,hydrocodone bitartrate/chlorpheniramine maleate,4,4
6330,cytomegalovirus immune globuln,1,1
6334,azithromycin,6234,6708
6338,fluvoxamine maleate,56,69
6341,imdur,2871,4948
6342,morphine sulf-d5w,1,1
6421,finasteride,1734,2443
6428,calcitrate,88,168
6430,iron,8,8
6437,cholestyramine,3,3
6438,fentanyl,2438,6611
6446,carboxymethylcellulose,36,36
6447,azactam-iso-osmotic dextrose,4,4
6494,amlodipine besylate,9979,34826
6495,cefpodoxime proxetil,274,277
6503,sporanox,9,10
6519,vitamin b-1,119,121
6520,coq-10,281,434
6536,clobazam,18,26
6538,alocril,2,2
6544,cetirizine,1303,2632
6545,pulmicort respule,1269,2431
6549,milrinone lactate,25,25
6552,fenofibrate,778,924
6554,zaditor,30,51
6587,imitrex,40,45
6605,lorata-d,67,83
6619,mepron,154,258
6620,daypro,8,11
7310,estradiol/norethindrone acetate,5,10
7315,estriol,2,2
7318,mirena,26,31
7325,korlym,4,4
7327,desogestrel-ethinyl estradiol,6,14
7344,paroxetine hcl,1195,2356
7350,tetrabenazine,6,7
7377,vigabatrin,1,1
7378,lamictal,677,1349
7393,salmeterol xinafoate,83,137
7396,bisoprolol fumarate,181,257
7429,fragmin,7,9
7471,finacea,24,31
7527,mupirocin,104,116
7576,sulfamethazine,5,5
7590,lamisil,36,71
7605,loratadine,2370,3581
7607,azelastine hcl,172,366
7619,reese pinworm,1,1
7625,paclitaxel,1,1
7631,quinapril hcl,298,447
7674,orabase plain,2,2
7708,cadexomer iodine,4,6
7825,azathioprine sodium,11,11
7826,accuretic,17,21
7827,soriatane,27,35
7837,lidopatch,115,115
7842,zolpidem tartrate,7532,17643
7844,potassium chloride,255,255
7846,jevity,127,131
7864,albendazole,1,1
7873,flonase,2113,3617
7878,enoxaparin,22971,45515
7892,je-vax,1,1
7894,freestyle lite meter,2,7
7904,vitamins a & d,2,2
7933,lever lock cannula,2,2
8006,parenteral nutrition,15,15
8009,parenteral nutrition,3,3
8060,creon,277,449
8186,felbatol,1,1
8254,sodium chloride,4615,4615
8255,sodium chloride,272685,426168
8256,sodium chloride,64,64
8257,sodium chloride,80,80
8259,metronidazole,3628,6364
8260,midol,2,2
8268,sular,8,13
8283,precose,45,78
8302,arthrotec,8,10
8317,tramadol hcl,8965,14632
8431,sensi-care,2,2
8466,vancomycin,4480,9523
8537,betaseron,11,12
8643,heparin (porcine) in nacl,1976,2828
8712,erythromycin,8,8
8715,ziac,39,82
8721,risperdal,1269,2006
8734,elmiron,6,6
8738,piperacillin-tazobactam,6574,21251
8739,prednicarbate,4,4
8788,aluminum monostearate,2,2
8798,evening primrose,1,1
8824,diclofenac potassium,12,23
8829,torsemide,975,1170
8831,gabapentin,20461,26557
8832,pulmozyme,4,5
8840,artificial tears,162,197
8845,lacrisert,1,1
8847,venlafaxine hcl,1309,2268
8885,robitussin cold-flu day,224,233
8946,fluvastatin sodium,18,27
8962,benazepril hcl/hydrochlorothiazide,17,21
8963,rocuronium,3285,5041
8966,novofine,12,29
8974,tacrolimus,825,825
8991,mavik,21,42
8993,prevacid,1401,1682
8998,skin protectant,53,53
9005,fosfomycin tromethamine,3,4
9007,famciclovir,16,32
9021,aerochamber,6,11
9040,duoneb,20896,66482
9061,clobetasol emollient,142,143
9109,glucosamine,27,29
9118,acapella,1,2
9125,l-alanine,4,4
9129,aimsco,1,1
9148,vitamin e,21,21
9274,cystagon,1,2
9533,diaper,2,2
9540,leg bag holder,1,1
9545,heparin sodium,4,4
9594,proline,1,1
9612,nefazodone hcl,20,20
9614,navelbine,1,1
9644,ganciclovir,2,4
9649,prempro,32,48
9672,thalaset,1,1
9690,glucovance,51,92
9724,copa hydrophilic foam,1,2
9736,"bismuth tribromophenate/petrolatum,white",1,1
9744,milrinone in,67,68
9759,benadryl,1231,1232
9793,cimetidine,1,1
9804,ultravist,1,1
9829,losartan potassium,5535,8741
9830,pregnenolone,1,1
9849,galzin,3,6
9863,hyzaar,300,597
9896,dorzolamide hcl,258,331
9934,moexipril hcl,10,10
9993,hemorrhoid ointment,1,1
10009,timolol,390,404
10012,mycophenolate mofetil,575,919
10037,parenteral nutrition,62,62
10041,lotrel,166,254
10066,nebulizer accessories,2,3
10079,caladryl,1,1
10081,"nebulizer/compressor, for nebulizer",2,3
10082,ayr saline,1,1
10083,hematinic plus,1,1
10086,gengraf,58,111
10093,vancomycin,11403,11412
10117,valtrex,171,315
10124,alendronate sodium,792,1554
10132,cefepime,7619,11271
10134,sulfacetamide,11,11
10143,bicalutamide,103,198
10194,soothe hydration,2,2
10215,lamivudine,65,106
10222,doxil,2,2
10232,invirase,2,2
10245,tretinoin,1,1
10247,riluzole,196,210
10249,anastrozole,248,376
10278,cisatracurium,1794,1794
10280,taxotere,7,11
10294,melatonin,6,11
10295,delsym,19,21
10305,r-gene,1,1
10321,citalopram hbr,2186,5479
10329,versed,1362,2408
10408,copper,2,2
10412,norvir,225,273
10485,glimepiride,974,1495
10705,lidocaine,2816,4068
10731,campral,49,65
10747,perforomist,151,294
10778,irinotecan hcl,1,1
10781,somatuline depot,2,2
10798,gemzar,12,12
10802,alfuzosin hcl,102,141
10803,cabergoline,17,17
10804,daunorubicin citrate liposomal,1,1
10858,nelfinavir mesylate,5,5
10865,provigil,39,63
11060,topamax,570,993
11107,zostrix,7,11
11115,prilosec,388,398
11205,metoprolol succinate/hydrochlorothiazide,16,19
11233,adapalene,1,2
11249,magnesium sulfate,6409,6409
11253,avonex,8,11
11254,meropenem,5511,6573
11257,dura-g,2,2
11265,morphine,76,76
11358,aleve sinus & headache,2,3
11372,ginkgo,13,26
11417,koate-dvi,12,12
11481,hawthorn,4,4
11505,mirtazapine,1677,3113
11507,antipyrine,1,1
11528,insulin lispro,16681,50073
11560,latanoprost,722,1271
11582,zanaflex,590,955
11592,nevirapine,9,15
11595,allegra,566,783
11632,toremifene citrate,10,10
11636,denavir,6,9
11679,fosphenytoin sodium,2,3
11735,oxcarbazepine,404,617
11740,vinpocetine,1,1
11782,durezol,31,37
11786,brimonidine tartrate,286,564
11792,aspirin,2155,2212
11813,poractant alfa,4,4
11814,zyprexa,639,1162
11815,zafirlukast,48,76
11914,metronidazole benzoate,3,3
11930,ropivacaine hcl,1,1
11964,cepacol sore throat,7,7
12014,promethazine,3415,8603
12090,amikacin,41,41
12181,meloxicam,608,1081
12182,ropinirole hcl,734,1326
12203,prasterone (dhea),6,6
12204,diovan,1395,2448
12233,betaine,2,2
12257,glynase,10,10
12258,mentax,4,4
12259,aricept,1554,2385
12263,epinephrine hcl,1,1
12306,transderm-scop,1012,1272
12319,chlorhexidine,291,291
12321,zileuton,1,2
12346,sodium oxybate,2,2
12351,letrozole,102,139
12383,levofloxacin in d5w,7101,18812
12384,levofloxacin,4297,6238
12404,atorvastatin calcium,18333,46028
12474,aggrenox,310,323
12779,sumatriptan,406,606
12810,copaxone,17,28
12815,pataday,105,178
12828,chromium picolinate,17,17
12834,calcium/vitamin e/folic acid/pyridoxine/herbal drugs,1,1
12848,follistim aq,2,2
12849,sertaconazole nitrate,40,55
12902,agrylin,8,13
12950,chondroitin sulfate,27,28
12958,zomig,24,31
12998,aldara,3,3
13111,cetaphil,9,9
13187,gadopentetate dimeglumine,1,1
13206,hyalgan,19,20
13209,sodium polystyrene sulfonate,1660,3136
13221,foscarnet sodium,1,1
13225,diphenhydramine citrate,24,24
13237,enalaprilat,4,4
13266,naratriptan,10,14
13315,tazarotene,1,1
13319,desmopressin acetate,307,396
13331,dovonex,21,33
13405,selsun blue,11,11
13429,fortaz,9,9
13446,cipro,658,893
13449,adderall,359,448
13455,mirapex,307,584
13464,alpha lipoic acid,54,55
13573,calcium,192,195
13633,bromday,53,81
13748,lidocaine hcl,465,465
13778,namenda,1356,1516
13795,carvedilol,19890,32297
13819,perphenazine/amitriptyline hcl,11,17
13845,nitazoxanide,6,6
13864,tamsulosin hcl,5520,12365
13894,sinemet,590,1011
13897,vision formula,7,14
13907,4-aminopyridine,7,16
13908,keflex,410,636
13911,aceon,8,13
13956,chondroitin sulfate,6,6
13966,megared plant-omega-3,1,1
13997,melatonin,23,25
14014,combivir,8,8
14015,seroquel,3949,8355
14173,st. john's wort,28,28
14230,turmeric,16,17
14267,accu-chek,5,5
14293,moexipril-hydrochlorothiazide,2,2
14296,hydrocodone bit-ibuprofen,197,226
14297,glucosamine hcl/chondroitin sulfate a,1,1
14298,cavilon,7,7
14299,cavilon,7,7
14306,calcitrate + vit d,57,129
14319,mineral oil/dimethicone/coconut oil/water,1,1
14324,aspirin/acetaminophen/magnesium/aluminum hydroxide/caffeine,1,1
14772,potassium chloride in nacl,2706,2721
14778,1000 ml - kcl in dextrose-nacl,1456,4171
14779,kcl in dextrose and nacl,1,1
14861,normosol-m and dextrose,3,3
14894,cu-plus-protein,2,2
14944,parenteral nutrition,65,65
15060,emetrol,3,3
15084,hydrocerin,4,4
15163,proctofoam-hc,11,11
15271,aero otic hc,1,1
15488,lollipop base,1,1
15560,ammonium lactate,140,186
15576,avapro,181,361
15632,acetyl l-carnitine,4,4
15726,folic acid-vit b-6-vit b-12,4,4
15743,sodium chloride/potassium chloride,1,2
15773,tiagabine hcl,14,18
15777,imodium multi-symptom relief,1,2
15908,midodrine hcl,3010,3012
15909,tetrahydrozoline hcl,21,22
16196,emla,94,122
16472,siberian ginseng,1,1
16483,eldepryl,1,1
16487,malarone,1,1
16520,galantamine hbr,108,127
16617,omega-3 fatty acids/vitamin e,6,7
16675,sam-e,3,3
16687,oxaliplatin,12,12
16695,sodium glycerophosphate,4,4
16740,bystolic,488,580
16785,treanda,4,7
16846,allegra-d,12,13
16848,rituxan,30,33
16859,iron succinyl-protein complex,7,7
16904,econazole nitrate,67,67
16911,singulair,2075,2807
16913,candesartan cilexetil,61,116
16915,penlac,5,9
16917,evista,154,190
16926,tobi,1,1
17021,elestat,2,2
17022,cosamin ds,3,5
17026,lansoprazol-amoxicil-clarithro,25,27
17029,chlorophyll,4,4
17067,shark cartilage,2,2
17073,silvasorb,12,12
17084,diovan hct,71,130
17103,potassium sulfate,1,1
17165,folbee,22,99
17263,benzaclin,3,8
17291,boniva,119,146
17389,vivotif berna,1,1
17404,honey,2,2
17426,oxybenzone,3,3
17433,cilostazol,300,532
17498,trospium chloride,66,85
17539,plavix,11395,28014
17674,pro-stat,191,205
17727,vitamin e succinate,3,5
17729,multivitamin with folic acid,1,1
17765,tobramycin,40,54
17791,potassium phosphate,1702,1709
17793,amiodarone,1187,1187
17799,"na phosphate,dibasic dihydrate",4,4
17876,florastor,551,597
17915,prandin,101,144
17996,cranberry extract,256,261
18023,feosol,8,12
18026,lotemax,85,90
18047,detrol,207,424
18084,humalog,837,3995
18166,bilberry,5,5
18202,parenteral nutrition,40,40
18205,parenteral nutrition,38,38
18207,norethindrone acetate/ethinyl estradiol,1,1
18237,trace elements,2,2
18250,zemplar,176,275
18254,azopt,72,95
18269,cosopt,143,253
18277,"lepirudin,recombinant",2,2
18280,parenteral nutrition,29,29
18377,prenatal,55,93
18381,coly-mycin s,1,1
18385,xeloda,52,65
18392,cipro hc,1,1
18396,egg-pro,1,1
18520,viorele,4,5
18527,exelon,151,162
18535,rizatriptan,75,113
18548,cefdinir,71,71
18555,potassium citrate,1,1
18559,sodium citrate,2,2
18561,potassium phosphate,30,37
18564,synagis,1,1
18565,actonel,117,139
18568,c1 esterase inhibitor,1,1
18569,colazal,32,53
18599,zinc gluconate/pumpkin seed oil/saw palmetto,1,1
18603,cellcept,67,67
18678,zinc,262,262
18694,arava,60,113
18747,remicade,47,50
18748,sustiva,65,71
18750,grape seed extract,4,4
18751,xenical,5,5
18801,herceptin,12,12
18807,vitron-c,71,77
18809,iron,6,6
18829,prenatal,1,1
18830,enbrel,68,74
18831,priftin,1,1
18832,renagel,224,252
18839,micardis,134,171
18847,aciphex,94,122
18857,abacavir,32,53
18950,entacapone,21,32
18963,avalide,22,31
18979,celebrex,596,735
19000,sandostatin lar,1,1
19017,omeclamox-pak,3,3
19036,dextromethorphan,76,76
19058,ondansetron,7872,10741
19063,b-12,45,64
19076,diphencyprone,1,1
19078,glucagon,21160,49390
19818,clindamycin palmitate hcl,8,12
19849,parenteral nutrition,109,109
19850,parenteral nutrition,28,28
19858,xopenex,576,726
19948,ferrlecit,15,17
19949,humalog mix,64,111
19963,advair diskus,6938,7546
20030,refresh,49,49
20214,avandia,3,4
20274,allopurinol sodium,9,10
20292,ferrous sulfate,4164,4177
20302,magnebind,1,1
20324,actos,470,723
20334,insulin admin. supplies,190,190
20347,zaleplon,40,64
20355,temozolomide,49,76
20361,eye drop tears,1,1
20364,glucosamine chondroitin,54,55
20370,cat's claw,1,1
20371,gotu kola,1,1
20375,cayenne,4,4
20377,lofibra,16,36
20384,milk thistle,21,21
20397,relagard,3,3
20398,relenza,1,1
20401,rifaximin,823,1155
20420,diclofenac epolamine,245,289
20487,nepro,131,132
20492,glucerna,129,129
20493,pulmocare,19,19
20495,glucerna,12,12
20519,sirolimus,103,126
20533,hectorol,154,180
20534,soy protein,4,4
20543,vitamin e,23,23
20546,antioxidant,1,1
20558,green tea leaf extract,2,3
20574,vitamin a & d,19,20
20581,beano,4,4
20584,bee pollen,1,1
20607,tamiflu,149,205
20613,carbidopa,56,56
20622,ginkgo biloba,6,6
20623,horse chestnut,7,7
20625,cranberry,101,101
20627,ester-c,10,10
20635,hypotears,1,1
20653,progesterone,28,34
20690,moxifloxacin hcl,27,64
20695,docosahexanoic acid,14,18
20727,isometheptene mucate,1,1
20728,ginger root,1,1
20735,implanon,35,36
20746,valerian root,11,11
20760,soy isoflavone,1,1
20769,novolog,29982,70747
20775,co q-10,43,43
20776,coenzyme q-10,241,241
20788,zymaxid,3,5
20803,exemestane,37,64
20821,glucosamine sulfate/chondroitin sul a na/sodium,1,1
20830,tea tree,1,1
20864,tikosyn,89,106
20882,lipoflavovit,12,13
20911,cholest off,3,5
20922,calcium carbonate/ergocalciferol (vit d2)/soybean,1,1
20952,levetiracetam,10901,16912
20953,lotronex,1,1
20968,melatonin,1333,1347
20971,dexmedetomidine,3234,6295
20974,tacrolimus,3170,3498
21058,garcinia cambogia,5,5
21080,evoxac,21,29
21088,calcium citrate + d,17,25
21102,lupron depot,94,117
21110,culturelle,60,72
21114,zoladex,2,2
21122,pretz,1,1
21140,zonisamide,78,133
21157,linezolid,58,103
21170,ginseng,8,8
21217,saw palmetto,57,58
21229,savella,33,38
21234,ferric subsulfate,2,2
21273,excedrin pm,3,3
21276,dhea,45,45
21280,atacand hct,4,5
21313,factor ix,7,9
21315,aveeno,1,1
21332,famotidine/calcium carbonate/magnesium hydroxide,1,1
21353,water,15,15
21364,calcium magnesium + d,4,7
21367,pegintron,1,1
21369,proferrin,5,5
21411,lutein,22,22
21417,vaniqa,2,2
21452,welchol,97,111
21516,quinine hcl,48,48
21544,multihance,1,1
21560,black cohosh root extract,1,1
21561,black cohosh,9,9
21565,centrum silver,106,108
21582,kaletra,20,25
21590,milk thistle,50,50
21607,nexium,2144,2535
21735,metamucil,142,144
21772,sennosides-docusate sodium,11645,23086
21773,venofer,43,52
21792,lactobacillus reuteri,1,1
21800,trizivir,3,4
21814,permethrin,3,5
21815,chloroxylenol/pramoxine hcl,1,1
21836,preparation h,3,6
21845,zoledronic acid,26,39
21859,starlix,43,67
21872,bivalirudin,1,1
21873,telmisartan/hydrochlorothiazide,4,7
21876,f-a-a,5,5
21894,axert,3,3
21909,caspofungin acetate,5,5
21916,selenium,48,48
21934,clarinex,55,58
21956,docosanol,5,7
21974,ziprasidone hcl,180,309
21993,symbicort,3129,3239
21996,travatan z,247,362
22000,lumigan,390,415
22008,pantoprazole,41558,114278
22025,lantus,14823,37198
22026,ocella,21,34
22033,valcyte,219,247
22038,lidocaine-transparent dressing,2859,2952
22057,plegisol,6,6
22096,gleevec,101,105
22142,lidocaine-hydrocortisone,3,3
22673,renacidin,4,4
22707,estradiol,3,3
22708,dilaudid,225,427
22716,multivital platinum,7,23
22724,fentanyl,2962,2983
22733,central vite,1,1
22755,elecare,6,6
22759,lycopene,3,3
22766,lutein,17,18
22770,polyethylene glycol,42,42
22778,polyethylene glycol,110,110
22780,polyethylene glycol,44,44
22796,cefadroxil,22,22
22819,polyethylene glycol,24538,31311
22820,polyethylene glycol,161,161
22848,neurotips,2,2
22851,taclonex,16,16
22864,zyrtec-d,16,18
22867,emu oil,1,1
22868,definity,1180,1180
22880,ultracet,58,68
22881,l-lysine,8,8
22883,glucosamine hcl,3,3
22889,darbepoetin alfa in albumn,28,33
22890,aranesp,262,313
22912,cod liver oil,1,1
22921,vitamin e,20,25
22937,viread,56,106
22946,hemax,36,41
22959,levocetirizine dihydrochloride,74,115
22961,calcium,874,907
22970,cholecalciferol (vit d3)/vitamin e acetate/safflower oil,1,1
22979,apple cider vinegar,3,4
22980,spectracef,1,1
22984,vitamin e,2,2
22987,focalin,7,9
22988,frova,4,4
22990,tracleer,3,3
23008,glaspak,1,1
23025,monoject,5,5
23035,tb syringe,2,2
23037,insulin syringe,8,8
23038,insulin syringe,29,29
23041,insulin syringe,28,28
23072,ferric sulfate,10,10
23090,advicor,5,6
23093,relpax,25,32
23164,trelstar,1,1
23167,elidel,8,10
23233,arixtra,67,120
23235,ortho evra,12,13
23241,invanz,79,147
23255,neulasta,10,13
23258,taurine,4,4
23315,ginkgo,5,5
23353,interferon beta-1a/albumin human,4,8
23379,geodon,27,27
23400,novolog mix,186,204
23438,buprenorphine,27,44
23445,proferrin-forte,1,1
23490,benicar,519,582
23523,faslodex,8,8
23650,remodulin,14,14
23659,glucosamine,305,305
23660,osteo bi-flex,14,14
23720,voriconazole,50,61
23721,nuvaring,26,27
23805,eye,1,1
23879,prosight with lutein,7,7
23881,immulife,2,5
23919,psyllium fiber,68,120
24021,artemether/lumefantrine,4,4
24022,lexapro,1670,2313
24024,spiriva,5065,5980
24030,cranberry,1,1
24035,pegasys,11,12
24100,insulin syringe,22,22
24243,omacetaxine mepesuccinate,1,1
24270,adefovir dipivoxil,1,1
24291,prepopik,19,19
24316,eplerenone,110,143
24353,avandamet,7,7
24402,dihydro-pe,2,2
24425,magnesium,896,902
24429,glipizide-metformin,12,17
24459,zetia,788,909
24485,avodart,358,390
24523,midazolam,1028,1028
24551,abilify,1032,1191
24700,forteo,42,43
24703,atomoxetine hcl,11,21
24721,primrose oil,6,6
24759,refresh dry eye therapy,18,18
24800,humira,76,87
24819,methotrexate,486,487
24846,suboxone,153,195
24859,cialis,184,269
24864,calcium/magnesium oxide/cholecalciferol (vitamin d3),1,2
25002,asthmanefrin refill,2,4
25009,crestor,2890,3417
25035,levitra,53,70
25040,ancef,1738,2627
25044,enfuvirtide,5,5
25050,lactobacillus,87,87
25056,oxybutynin,1083,1088
25058,aprepitant,23,27
25117,paradigm,1,1
25118,paradigm,1,1
25184,excel ap,1,1
25201,myfortic,114,133
25202,velcade,7,13
25225,systane,40,41
25243,marcaine,5,7
25246,fentanyl-bupivacaine-ns,2,2
25247,hydromorph hcl/bupiv hcl/ns/pf,1,1
25277,1 ml,2880,3955
25281,1000 ml - potassium chloride in nacl,1043,1050
25386,fentanyl,28343,105348
25390,reyataz,195,207
25399,xolair,9,12
25426,emtriva,62,97
25446,benicar hct,38,52
25476,stalevo,47,54
25485,"petrolatum, yellow",1,1
25488,ciprodex,25,45
25496,glucosamine chondroitin msm,4,9
25509,risperdal consta,1,1
25512,palonosetron hcl,11,20
25557,ca carbonate/mag oxide/vitamin d3/vit b12/fa/vit b6/boron,6,6
25631,gamunex-c,2,2
25662,lexiva,1,1
25663,vicks nyquil,6,8
25673,daptomycin,60,74
25734,cerefolin,13,18
25756,cla,4,4
25796,pexeva,1,1
25800,symbyax,7,7
25804,combigan,119,141
25827,senna leaf,1,1
25869,niacin,509,512
25889,prosource,14,14
25905,alimta,30,31
25951,caduet,26,45
25953,cefuroxime,31,31
25963,avastin,45,48
25966,bacitracin,102,102
25968,esomeprazole,1227,1306
25973,dianeal pd-2 w-2.5% dextrose,1,1
25979,flora-q,10,18
25996,limbrel,4,5
25998,sensipar,708,811
26046,gemifloxacin mesylate,1,1
26066,green tea extract,2,2
26130,"vit e ac/sorbitan sesq/mineral oil/petrolatum,white/paraffin",3,3
26201,glucosamine-chondroitin,13,13
26342,dialyvite,13,13
26361,vidaza,5,6
26407,insulin detemir,3991,7350
26435,"calcium phosphate, dibasic/cholecalciferol (vitamin d3)",1,1
26470,lyrica,1663,1919
26475,cinnamon,46,73
26505,vytorin,238,244
26515,truvada,205,211
26521,cymbalta,2032,2726
26524,epzicom,60,61
26552,hylan g-f,1,1
26588,benadryl,10,10
26595,vesicare,371,403
26607,amlactin,4,4
26639,valine,1,1
26691,"mvi, adult no.2 without vit k",123,125
26696,infuvite,1055,1055
26698,"mvi, adult no.1 with vit k",180,180
26708,trochibase s,1,1
26714,multi-vitamin,197,241
26726,mag hydroxide/al hydroxide/simeth/diphenhydramine/lidocaine,14,21
26745,tarceva,60,71
26750,tysabri,122,122
26756,fosrenol,44,58
26785,tucks,2,3
26791,lunesta,147,166
26793,lovaza,368,381
26794,prostate,14,15
26808,cefazolin,2941,2941
26809,cefazolin,148,148
26810,diltiazem,5,5
26820,enablex,47,50
26826,prialt,2,2
26856,abraxane,1,1
26859,atrac-tain,1,1
32676,acidophilus,3,5
32690,senna,1257,1257
32691,alvesco,43,89
32716,glucosamine,40,51
32727,golden seal extract/echinacea purpurea extract,1,1
32736,chromium,1,1
32737,magnesium,69,70
32801,ferrous gluconate/lysine hcl/vitamin e/vitamin b comp w-c/zn,1,1
32804,micafungin sodium,64,116
32805,symlinpen,4,7
32814,xopenex,26,32
32827,cellacefate,2,2
32832,entecavir,64,67
32834,fluocinolone acetonide,55,55
32841,fosamax plus d,2,2
32893,byetta,38,62
32900,zosyn,3919,5885
32908,calcium citrate,5,5
32911,azilect,43,77
32922,vsl#3,22,22
32957,os-cal ultra,37,37
32975,afinitor,3,6
32986,tigecycline,27,33
33005,icaps,13,21
33008,synera,1,1
33009,bidil,27,31
33094,ceftriaxone,763,1183
33111,metamucil plus calcium,4,4
33126,rozerem,42,60
33127,glucosamine sulfate,22,22
33152,insulin glulisine,105,196
33159,calcium carbonate/vitamin b complex/folic acid,8,8
33174,zinc sulfate,323,323
33182,calcium/folic acid/multivitamin w-minerals,1,1
33188,"glucosamine hcl/chondro su a/collagen, hydrolyzed/hyalur ac",4,7
33189,centrum silver,208,243
33191,fluoxetine,1927,1927
33193,collagen,16,16
33195,nepafenac,34,53
33202,actoplus met,36,38
33220,lipitor,32,33
33227,saliva substitution combo no.2,2,2
33229,calcium,742,1446
33236,airborne,1,1
33239,certa plus,2,2
33243,meperidine (pf),2198,3224
33270,gabadone,8,8
33276,nulytely with flavor packs,2,2
33281,bisacodyl/sodium chlor/sodium bicarb/potassium chl/peg,17,17
33290,gentamicin sulfate,4,4
33301,vitamin e,287,287
33307,vitamin a/vitamin e/avobenzone/octinoxate/hydroquinone,1,1
33309,thera m plus,18,30
33314,heparin,3982,13552
33337,deferasirox,39,63
33338,dermotic,4,4
33347,omega,1249,2495
33356,neosporin,14,14
33371,avandaryl,6,6
33384,preservision lutein,55,62
33386,multivital,27,37
33399,tandem dual action,1,1
33400,nexavar,36,44
33412,revlimid,78,81
33419,methenamine/methylene blue/benzoic acid/salicylate/hyoscy,1,1
33437,bacitracin zinc,2,2
33439,critic-aid clear,17,17
33442,heparin sod (porcine),1474,1862
33445,sutent,12,12
33446,ranexa,424,525
33451,amitiza,175,279
33455,melatonin,7,7
33461,posaconazole,201,301
33470,vitamin e acetate/avobenzone/octinoxate/hydroquinone,1,1
33502,eraxis (water diluent),3,3
33510,selegiline,14,18
33512,zegerid,24,40
33517,neupro,36,43
33526,red yeast rice extract,6,6
33539,freshkote,3,3
33556,methylphenidate,121,128
33567,cascara sagrada,3,3
33592,lidocaine,2460,4851
33594,lidocaine,51,51
33598,ondansetron,47854,127625
33600,ceramides,1,1
33611,tandem plus,1,1
33622,viscoat,1,1
33712,dacogen,2,2
33766,chantix,157,166
33770,budesonide,19,23
33782,vivitrol,9,9
33792,levonorg-eth estrad eth estrad,1,4
33799,desenex,44,44
33811,"colostomy bag, non-sterile",2,2
33814,benefiber,18,21
33816,b complex with vitamin c,5,9
33823,insulin pump cartridge,1,1
33830,prenatal vitamins no.4/ferrous fumarate/folic acid,3,3
33835,methylsulfonylmethane,3,6
33842,prezista,85,147
33855,sprycel,7,7
33857,ocuvite with lutein,34,48
33861,lucentis,8,8
33873,super b complex,52,53
33888,atripla,142,163
33904,tricor,608,1004
33922,glucosamine chondroitin,6,6
33930,elaprase,60,60
33931,surgilube,13,13
33951,genteal,29,29
33966,vicks nyquil severe cold-flu,2,2
33971,iron asp gly & ps cmplx/ascorb calcium/ca-thr/succinic acid,4,4
33972,iron asp gly&ps cmplx/ascorb.cal/vit b12/fa/ca-thr/succ.acid,1,1
33976,multigen,1,1
33988,generess fe,3,3
33991,duetact,1,2
34013,green tea,18,18
34014,zinc,2,3
34018,glucosamine & chondroitin with multivit.& mins. comb no.3,6,6
34019,"multivits, iron, minerals combo no #4, folic acid",5,5
34023,glucosamine chondroitin,26,26
34026,moviprep,12,12
34087,brovana,240,264
34106,potassium and sodium phosphate,1164,2251
34126,januvia,1128,1248
34199,calcium carbonate and citrate/magnesium oxide,1,1
34210,salmon oil,6,8
34213,multivitamin with minerals/folic acid/lycopene,5,6
34222,"zinc oxide/petrolatum, yellow",1,1
34245,carvedilol,4,12
34272,nephro-vite rx,5,12
34283,cosopt pf,3,3
34318,metronidazole/skin cleanser,3,3
34343,invega,53,78
34346,aquadeks,2,2
34359,k-pax,4,4
34360,k-pax,3,3
34361,epinephrine,41,41
34362,gentamicin sulfate in ns,1,1
34372,vitamin b comp and vit c no.6,12,12
34381,dexamethasone,101,135
34400,accu-chek compact,1,1
34429,calcium carbonate/vit d3/magnesium ox & stearate/zinc sulf,1,2
34432,ucd,1,1
34433,exforge,51,65
34456,aquoral,1,1
34458,prenatal vitamins comb,2,2
34486,vyvanse,26,33
34489,calcium plus vitamin d,10,10
34493,tekturna,88,104
34515,biotene,11,11
34541,tykerb,7,8
34569,eye-vite,2,2
34618,soliris,2,2
34630,hyde-out,1,1
34632,spironolactone,1874,1874
34634,advil pm,10,13
34638,preservision areds,109,158
34665,janumet,200,214
34667,polyethylene glycol,134,235
34668,zeasorb,1,1
34674,vitamin e,253,253
34677,megestrol acetate,243,243
34684,fish oil/omega-3 fatty acids/ascorbic acid/vitamin e,1,1
34708,altabax,3,3
34713,travatan,2,4
34717,reclast,14,15
34756,fluticasone furoate,1248,1264
34760,tpn electrolytes,71,71
34774,flaxseed oil/evening primrose oil/bilberry extract,1,1
34785,optisource,1,1
34786,b complex with b-12,6,6
34794,carnitor,17,17
34805,hydromorphone hcl,4551,19980
34827,brompheniramine maleate/phenylephrine hcl/carbetapentane cit,3,6
34849,letairis,26,35
34852,excedrin back & body,17,17
34858,refresh optive,8,8
34868,nuvigil,18,32
34882,ubiquinol,11,11
34884,rivastigmine,58,59
34908,midazolam,5096,6981
34925,multivitamin-minerals no.5/folic acid,1,1
34927,selzentry,83,91
34934,uribel,3,3
34946,antihemophilic factor viii (plasma/albumin-free),3,3
34977,ferrex,3,6
34982,banzel,7,8
35004,tocopherol peg,4,4
35018,omega,2,2
35019,donnatal,25,27
35042,azor,87,118
35057,multivitamins with min no.6/folic acid/lutein/lycop/ubidecar,1,1
35065,vital-d rx,2,2
35067,niacinamide,3,3
35071,tens,1,1
35072,raltegravir potassium,122,213
35085,famotidine,15642,24426
